,open,close
2018-02-27,23.53,24.16
2018-02-26,22.8,23.53
2018-02-23,22.88,22.82
2018-02-22,22.25,22.28
2018-02-14,21.49,21.92
2018-02-13,21.4,21.48
2018-02-12,20.7,21.19
2018-02-09,21.2,20.36
2018-02-08,21.79,21.88
2018-02-07,22.69,21.8
2018-02-06,22.8,22.29
2018-02-05,22.45,23.27
2018-02-02,22.4,22.62
2018-02-01,23.71,22.42
2018-01-31,23.85,23.72
2018-01-30,23.71,23.83
2018-01-29,24.4,23.77
2018-01-26,24.27,24.49
2018-01-25,24.99,24.37
2018-01-24,25.49,25.29
2018-01-23,25.15,25.5
2018-01-22,25.14,25.13
2018-01-19,24.6,25.13
2018-01-18,24.4,24.6
2018-01-17,24.42,24.6
2018-01-16,23.4,24.4
2018-01-15,24.01,23.43
2018-01-12,23.7,24.24
2018-01-11,23.67,23.67
2018-01-10,24.1,23.8
2018-01-09,24.6,23.96
2018-01-08,24.12,24.71
2018-01-05,24.0,24.51
2018-01-04,22.79,25.07
2018-01-03,22.42,22.79
2018-01-02,22.3,22.42
2017-12-29,22.34,22.31
2017-12-28,22.23,22.24
2017-12-27,22.25,22.13
2017-12-26,21.73,22.23
2017-12-25,22.81,21.51
2017-12-22,23.21,22.99
2017-12-21,23.39,23.21
2017-12-20,23.61,23.33
2017-12-19,23.23,23.46
2017-12-18,23.0,23.13
2017-12-15,23.4,23.0
2017-12-14,23.65,23.47
2017-12-13,23.99,23.81
2017-12-12,22.61,23.98
2017-12-11,22.61,22.75
2017-12-08,22.4,22.61
2017-12-07,21.98,22.26
2017-12-06,21.66,22.06
2017-12-05,22.91,21.7
2017-12-04,23.91,22.92
2017-12-01,24.04,24.18
2017-11-30,24.37,24.25
2017-11-29,24.66,24.29
2017-11-28,24.01,24.7
2017-11-27,24.4,24.21
2017-11-24,24.1,24.45
2017-11-23,25.3,24.03
2017-11-22,25.21,25.26
2017-11-21,24.6,25.28
2017-11-20,25.55,25.09
2017-11-17,28.0,26.08
2017-11-16,28.1,28.17
2017-11-15,29.3,28.46
2017-11-14,28.0,29.34
2017-11-13,28.61,28.25
2017-11-10,28.78,28.09
2017-11-09,28.88,28.37
2017-11-08,28.8,29.04
2017-11-07,28.6,28.98
2017-11-06,28.67,28.18
2017-11-03,28.86,28.15
2017-11-02,31.8,30.45
2017-11-01,33.85,33.83
2017-10-31,32.62,34.44
2017-10-30,32.56,32.06
2017-10-27,31.45,33.11
2017-10-26,29.3,32.41
2017-10-25,27.86,29.73
2017-10-24,28.2,28.05
2017-10-23,29.0,29.79
2017-10-20,29.2,28.33
2017-10-19,25.61,27.16
2017-10-18,25.63,25.69
2017-10-17,25.3,25.43
2017-10-16,26.4,25.19
2017-10-13,26.26,26.35
2017-10-12,26.28,26.26
2017-10-11,27.26,26.31
2017-10-10,27.12,27.12
2017-10-09,27.8,27.35
2017-09-29,27.49,27.79
2017-09-28,27.58,27.28
2017-09-27,26.52,28.26
2017-09-26,24.87,26.52
2017-09-25,25.78,24.91
2017-09-22,27.0,26.18
2017-09-21,26.03,27.73
2017-09-20,25.66,25.89
2017-09-19,25.95,25.74
2017-09-18,26.66,25.95
2017-09-15,26.58,26.89
2017-09-14,26.7,26.73
2017-09-13,27.2,26.95
2017-09-12,27.18,27.46
2017-09-11,26.9,27.09
2017-09-08,25.5,26.93
2017-09-07,24.41,25.57
2017-09-06,23.51,24.51
2017-09-05,23.76,23.95
2017-09-04,24.45,23.76
2017-09-01,25.33,25.04
2017-08-31,24.16,25.62
2017-08-30,23.25,24.15
2017-08-29,23.45,23.06
2017-08-28,23.45,23.5
2017-08-25,22.5,23.37
2017-08-24,22.87,22.62
2017-08-23,23.9,23.07
2017-08-22,22.55,24.35
2017-08-21,22.6,22.71
2017-08-18,21.75,22.4
2017-08-17,21.8,21.88
2017-08-16,21.37,21.89
2017-08-15,21.52,21.44
2017-08-14,21.1,21.5
2017-08-11,21.85,21.23
2017-08-10,21.45,22.05
2017-08-09,21.62,21.4
2017-08-08,21.62,21.66
2017-08-07,21.6,21.69
2017-08-04,22.1,21.49
2017-08-03,22.18,22.28
2017-08-02,22.13,21.89
2017-08-01,22.65,22.38
2017-07-31,22.78,22.79
2017-07-28,22.6,23.01
2017-07-27,23.39,22.76
2017-07-26,23.53,23.4
2017-07-25,23.07,23.7
2017-07-24,22.8,23.03
2017-07-21,22.75,23.2
2017-07-20,22.52,22.67
